Site	Left	Right	Strand	Transcription-Units	Common-Name
GlaR DNA-binding-site regulating ypjA	2782942	2782957	-	ypjA	
GlaR DNA-binding-site regulating yqhC	3154845	3154860	-	yqhC	
GlcC-glycolate DNA-binding-site 176 bases upstream of glcDp	3128245	3128260		glcDEFGBA // glcC	
GlpR DNA-binding-site 0.5 bases upstream of glpDp	3561961	3561981	+	glpD	
GlpR DNA-binding-site 1001.5 bases downstream of glpFp	4117151	4117171	-	glpFKX	
GlpR DNA-binding-site 1043.5 bases downstream of glpFp	4117109	4117129	-	glpFKX	
GlpR DNA-binding-site 113.5 bases upstream of glpTQp	2352555	2352575		glpTQ // glpABC	
GlpR DNA-binding-site 132.5 bases upstream of glpTQp	2352574	2352594		glpTQ // glpABC	
GlpR DNA-binding-site 17.5 bases upstream of glpFp	4118169	4118189	-	glpFKX	
GlpR DNA-binding-site 172.5 bases upstream of glpTQp	2352614	2352634		glpTQ // glpABC	
GlpR DNA-binding-site 19.5 bases downstream of glpDp	3561980	3562000	+	glpD	
GlpR DNA-binding-site 315.5 bases downstream of glpTQp	2352127	2352147	-	glpTQ	
GlpR DNA-binding-site 333.5 bases downstream of glpTQp	2352109	2352129	-	glpTQ	
GlpR DNA-binding-site 348.5 bases downstream of glpTQp	2352094	2352114	-	glpTQ	
GlpR DNA-binding-site 37.5 bases upstream of glpFp	4118189	4118209	-	glpFKX	
GlpR DNA-binding-site 41.5 bases upstream of glpTQp	2352483	2352503		glpTQ // glpABC	
GlpR DNA-binding-site 414.5 bases downstream of glpDp	3562375	3562395	+	glpD	
GlpR DNA-binding-site 455.5 bases downstream of glpDp	3562416	3562436	+	glpD	
GlpR DNA-binding-site 58.5 bases upstream of glpFp	4118210	4118230	-	glpFKX	
GlpR DNA-binding-site 79.5 bases upstream of glpFp	4118231	4118251	-	glpFKX	
GlpR DNA-binding-site 81.5 bases upstream of glpTQp	2352523	2352543		glpTQ // glpABC	
GlrR-Pasp56 DNA-binding-site 125.5 bases upstream of glmYp1	2691457	2691475	-	glmY	
GlrR-Pasp56 DNA-binding-site 188.5 bases upstream of glmYp1	2691520	2691538	-	glmY	
GlrR-Pasp56 DNA-binding-site 221.5 bases upstream of glmYp1	2691553	2691571	-	glmY	
GlrR-Pasp56 DNA-binding-site 26.5 bases upstream of rseDp1	2710357	2710375	-	rseD-rpoE-rseABC // rseD-rpoE-rseABC	
GlrR-Pasp56 DNA-binding-site 65.5 bases upstream of rseDp1	2710396	2710414	-	rseD-rpoE-rseABC // rseD-rpoE-rseABC	
GlrR-Pasp56 DNA-binding-site 90.5 bases upstream of rseDp1	2710420	2710440	-	rseD-rpoE-rseABC // rseD-rpoE-rseABC	
GntR DNA-binding-site 108.5 bases upstream of idnDp	4494534	4494554		idnDOTR // idnK	
GntR DNA-binding-site 128.5 bases downstream of eddp	1934576	1934596	-	edd-eda	
GntR DNA-binding-site 15 bases upstream of gntXp	3544642	3544662	+	gntXY	
GntR DNA-binding-site 15.5 bases downstream of gntKp	3577621	3577641	-	gntK // gntKU	
GntR DNA-binding-site 2.5 bases downstream of gntKp	3577634	3577654	-	gntK // gntKU	
GntR DNA-binding-site 55.5 bases upstream of gntTp2	3546381	3546401	+	gntT // gntT // gntT	
GntR DNA-binding-site 58.5 bases upstream of idnDp	4494484	4494504		idnDOTR // idnK	
GntR DNA-binding-site 78.5 bases upstream of idnDp	4494504	4494524		idnDOTR // idnK	
GntR DNA-binding-site 86.5 bases downstream of gntTp2	3546522	3546542	+	gntT // gntT // gntT	
GntR DNA-binding-site 93.5 bases upstream of eddp	1934797	1934817	-	edd-eda	
GutM DNA-binding-site regulating srlAp			+	srlAEBD-gutM-srlR-gutQ	
H-NS DNA-binding-site (BS0-10556)					
H-NS DNA-binding-site (BS0-10557)					
H-NS DNA-binding-site (BS0-10558)					
H-NS DNA-binding-site (BS0-10561)					
H-NS DNA-binding-site (BS0-10562)					
H-NS DNA-binding-site (BS0-10563)					
H-NS DNA-binding-site (BS0-10565)					
H-NS DNA-binding-site (BS0-10583)	4429447	4429458			
H-NS DNA-binding-site (BS0-10637)					
H-NS DNA-binding-site (BS0-10638)					
H-NS DNA-binding-site (BS0-10639)					
H-NS DNA-binding-site (BS0-10640)					
H-NS DNA-binding-site (BS0-10641)					
H-NS DNA-binding-site (BS0-10642)					
H-NS DNA-binding-site (BS0-10643)					
H-NS DNA-binding-site (BS0-10644)					
H-NS DNA-binding-site (BS0-10645)					
H-NS DNA-binding-site (BS0-10646)					
H-NS DNA-binding-site (BS0-10648)					
H-NS DNA-binding-site (BS0-10649)					
H-NS DNA-binding-site (BS0-10650)					
H-NS DNA-binding-site (BS0-10651)					
H-NS DNA-binding-site (BS0-10652)					
H-NS DNA-binding-site (BS0-10653)					
H-NS DNA-binding-site (BS0-10654)					
H-NS DNA-binding-site 0.5 bases upstream of fesp	612679	612694	+	fes-ybdZ-entF-fepE	
H-NS DNA-binding-site 10.5 bases upstream of mdtJp	1673785	1673795	-	mdtUJI	
H-NS DNA-binding-site 100 bases downstream of proVp3	2804847	2804862	+	proVWX	
H-NS DNA-binding-site 101.5 bases upstream of ftnAp	1988571	1988591	+	ftnA	
H-NS DNA-binding-site 105.5 bases upstream of cspAp1	3719779	3719789	+	cspA	
H-NS DNA-binding-site 113 bases upstream of hnsp	1293064	1293079	-	hns	
H-NS DNA-binding-site 118 bases upstream of hdeAp2	3656902	3656917	-	hdeAB-yhiD // hdeAB-yhiD	
H-NS DNA-binding-site 129 bases upstream of cadBp	4360228	4360243	-	cadBA	
H-NS DNA-binding-site 130 bases downstream of proVp3	2804877	2804892	+	proVWX	
H-NS DNA-binding-site 131.5 bases upstream of ftnAp	1988546	1988556	+	ftnA	
H-NS DNA-binding-site 143.5 bases upstream of cspAp1	3719741	3719751	+	cspA	
H-NS DNA-binding-site 15.5 bases downstream of ftnAp	1988687	1988707	+	ftnA	
H-NS DNA-binding-site 156 bases downstream of proVp3	2804903	2804918	+	proVWX	
H-NS DNA-binding-site 161.5 bases upstream of yjjPp	4603191	4603201		yjjP // yjjQ-bglJ	
H-NS DNA-binding-site 170 bases downstream of proVp3	2804917	2804932	+	proVWX	
H-NS DNA-binding-site 174.5 bases upstream of yjjPp	4603204	4603214		yjjP // yjjQ-bglJ	
H-NS DNA-binding-site 175 bases upstream of cadBp	4360274	4360289	-	cadBA	
H-NS DNA-binding-site 18 bases upstream of galEp	792092	792107	-	galETKM // galE // galET // galETK // galETK // galET // galE // galETKM	
H-NS DNA-binding-site 182 bases upstream of hnsp	1293133	1293148	-	hns	
H-NS DNA-binding-site 2 bases upstream of galEp	792076	792091	-	galETKM // galE // galET // galETK // galETK // galET // galE // galETKM	
H-NS DNA-binding-site 20.5 bases upstream of ftnAp	1988646	1988678	+	ftnA	
H-NS DNA-binding-site 212 bases upstream of leuOp2	84085	84100	+	leuO // leuO	
H-NS DNA-binding-site 23.5 bases downstream of cspAp1	3719907	3719917	+	cspA	
H-NS DNA-binding-site 24 bases downstream of lacZp1	366313	366328	-	lacZYA	
H-NS DNA-binding-site 240.5 bases downstream of mdtJp	1673535	1673545	-	mdtUJI	
H-NS DNA-binding-site 26 bases downstream of proVp3	2804773	2804788	+	proVWX	
H-NS DNA-binding-site 26 bases upstream of rrsBp	4166334	4166349	+	rrsB-gltT-rrlB-rrfB // rrsB-gltT-rrlB-rrfB	
H-NS DNA-binding-site 260 bases upstream of cadBp	4360359	4360374	-	cadBA	
H-NS DNA-binding-site 288.5 bases downstream of mdtJp	1673487	1673497	-	mdtUJI	
H-NS DNA-binding-site 3.5 bases downstream of dpsp2	848943	848953	-	dps // dps	
H-NS DNA-binding-site 31 bases upstream of lacZp1	366367	366382	-	lacZYA	
H-NS DNA-binding-site 317 bases upstream of cadBp	4360416	4360431	-	cadBA	
H-NS DNA-binding-site 32 bases upstream of cadBp	4360131	4360146	-	cadBA	
H-NS DNA-binding-site 33 bases upstream of proVp3	2804715	2804730	+	proVWX	
H-NS DNA-binding-site 36 bases upstream of galEp	792110	792125	-	galETKM // galE // galET // galETK // galETK // galET // galE // galETKM	
H-NS DNA-binding-site 40 bases upstream of hnsp	1292991	1293006	-	hns	
H-NS DNA-binding-site 415 bases upstream of nrdAp	2344333	2344348	+	nrdAB-yfaE	
H-NS DNA-binding-site 439 bases upstream of nrdAp	2344309	2344324	+	nrdAB-yfaE	
H-NS DNA-binding-site 45 bases downstream of proVp3	2804792	2804807	+	proVWX	
H-NS DNA-binding-site 46 bases upstream of casAp	2884358	2884373	-	casABCDE12	
H-NS DNA-binding-site 47 bases upstream of galEp	792121	792136	-	galETKM // galE // galET // galETK // galETK // galET // galE // galETKM	
H-NS DNA-binding-site 5 bases upstream of lacZp1	366341	366356	-	lacZYA	
H-NS DNA-binding-site 50 bases upstream of rrsBp	4166310	4166325	+	rrsB-gltT-rrlB-rrfB // rrsB-gltT-rrlB-rrfB	
H-NS DNA-binding-site 54 bases upstream of lacZp1	366390	366405	-	lacZYA	
H-NS DNA-binding-site 56 bases upstream of ftnAp	1988609	1988644	+	ftnA	
H-NS DNA-binding-site 56.5 bases upstream of hlyEp	1230515	1230530	-	hlyE	
H-NS DNA-binding-site 58 bases upstream of cspAp1	3719823	3719840	+	cspA	
H-NS DNA-binding-site 6 bases downstream of lacZp1	366331	366346	-	lacZYA	
H-NS DNA-binding-site 6 bases upstream of hlyEp	1230465	1230480	-	hlyE	
H-NS DNA-binding-site 65.5 bases upstream of yciGp	1316153	1316163	-	yciG // yciGFE	
H-NS DNA-binding-site 67 bases upstream of lacZp1	366403	366418	-	lacZYA	
H-NS DNA-binding-site 680 bases downstream of bglGp1	3906011	3906026	-	bglG // bglGFB	
H-NS DNA-binding-site 7 bases downstream of proVp3	2804754	2804769	+	proVWX	
H-NS DNA-binding-site 72 bases downstream of proVp3	2804819	2804834	+	proVWX	
H-NS DNA-binding-site 83 bases upstream of ftnAp	1988590	1988609	+	ftnA	
H-NS DNA-binding-site 83 bases upstream of rrsBp	4166277	4166292	+	rrsB-gltT-rrlB-rrfB // rrsB-gltT-rrlB-rrfB	
H-NS DNA-binding-site 84 bases downstream of proVp3	2804831	2804846	+	proVWX	
H-NS DNA-binding-site 88.5 bases upstream of yciGp	1316176	1316186	-	yciG // yciGFE	
H-NS DNA-binding-site 9.5 bases upstream of cspAp1	3719875	3719885	+	cspA	
H-NS DNA-binding-site regulating adiYp			-	adiY	
H-NS DNA-binding-site regulating appYp1			+	appY	
H-NS DNA-binding-site regulating cadCp			-	cadC	
H-NS DNA-binding-site regulating chiAp			-	chiA	
H-NS DNA-binding-site regulating cmoMp			+	smtA-mukFEB	
H-NS DNA-binding-site regulating csgDp3			-	csgDEFG // csgDEFG	
H-NS DNA-binding-site regulating csiDp			+	glaH-lhgD-gabDTP	
H-NS DNA-binding-site regulating csiEp2			+	csiE // csiE	
H-NS DNA-binding-site regulating cspDp			-	cspD	
H-NS DNA-binding-site regulating cydAp1			+	cydAB	
H-NS DNA-binding-site regulating cydAp2			+	cydAB	
H-NS DNA-binding-site regulating cydAp3			+	cydAB	
H-NS DNA-binding-site regulating cydAp4			+	cydAB	
H-NS DNA-binding-site regulating evgLp1			+	evgLAS	
H-NS DNA-binding-site regulating evgLp2			+	evgLAS	
H-NS DNA-binding-site regulating fimAp			+	fimAICDFGH	
H-NS DNA-binding-site regulating fimBp1			+	fimB	
H-NS DNA-binding-site regulating fimBp2			+	fimB	
H-NS DNA-binding-site regulating fimEp			+	fimE	
H-NS DNA-binding-site regulating flhDp			-	flhDC	
H-NS DNA-binding-site regulating gadAp2			-	gadAX // gadAX	
H-NS DNA-binding-site regulating gadEp2			+	gadEF-mdtEF	
H-NS DNA-binding-site regulating gadWp2			-	gadW	
H-NS DNA-binding-site regulating gadXp			-	gadXW // gadX	
H-NS DNA-binding-site regulating gspAp1			-	gspAB	
H-NS DNA-binding-site regulating gspAp2			-	gspAB	
H-NS DNA-binding-site regulating gspCp2			+	gspCDEFGHIJKLMO	
H-NS DNA-binding-site regulating gspCp3			+	gspCDEFGHIJKLMO	
H-NS DNA-binding-site regulating hchAp1			+	hchA	
H-NS DNA-binding-site regulating hchAp2			+	hchA	
H-NS DNA-binding-site regulating hdeDp2			+	hdeD // hdeD	
H-NS DNA-binding-site regulating hdfRp			-	hdfR	
H-NS DNA-binding-site regulating ilvIHp1			+	ilvIH	
H-NS DNA-binding-site regulating lrpp			+	lrp	
H-NS DNA-binding-site regulating nirBp			+	nirBDC-cysG	
H-NS DNA-binding-site regulating nrdDp			-	nrdDG	
H-NS DNA-binding-site regulating osmCp2			+	osmC	
H-NS DNA-binding-site regulating proVp			+	proVWX // proVWX	
H-NS DNA-binding-site regulating rcsAp			+	rcsA	
H-NS DNA-binding-site regulating rcsDp			+	rcsDB	
H-NS DNA-binding-site regulating slpp			+	slp-dctR	
H-NS DNA-binding-site regulating ssrSp			+	ssrS-ygfA // ssrS // ssrS // ssrS-ygfA	
H-NS DNA-binding-site regulating ssrSp1			+	ssrS // ssrS-ygfA	
H-NS DNA-binding-site regulating stpAp1			-	stpA	
H-NS DNA-binding-site regulating ydeOp			-	ydeO	
H-NS DNA-binding-site regulating ydePp			-	ydeP	
H-NS DNA-binding-site regulating yhiMp			+	yhiM	
HcaR-HCA DNA-binding-site 42 bases upstream of hcaEp	2668934	2668947		hcaEFCBD // hcaR-iroK	
HdfR DNA-binding-site regulating flhDp			-	flhDC	
HdfR DNA-binding-site regulating gltBp2			+	gltBDF // gltBDF	
HicB DNA-binding-site 30.5 bases upstream of hicAp2	1509234	1509256	+	hicAB	
HigA DNA-binding-site 27 bases upstream of higBp	3234494	3234521	-	higBA	
HigBA DNA-binding-site 27 bases upstream of higBp	3234494	3234521	-	higBA	
HigBA DNA-binding-site 5 bases downstream of higBp	3234467	3234486	-	higBA	
HipAB DNA-binding-site 10.5 bases downstream of hipBp	1592463	1592483	-	hipBA	
HipAB DNA-binding-site 18.5 bases upstream of hipBp	1592491	1592511	-	hipBA	
HipAB DNA-binding-site 5 bases downstream of relAp1	2913809	2913842	-	relA-mazEF	
HipAB DNA-binding-site 57.5 bases upstream of hipBp	1592530	1592550	-	hipBA	
HipAB DNA-binding-site 85.5 bases upstream of hipBp	1592558	1592578	-	hipBA	
HipB DNA-binding-site 10.5 bases downstream of hipBp	1592463	1592483	-	hipBA	
HipB DNA-binding-site 132.5 bases upstream of fadHp	3231474	3231510	+	fadH	
HipB DNA-binding-site 18.5 bases upstream of hipBp	1592491	1592511	-	hipBA	
HipB DNA-binding-site 5 bases downstream of relAp1	2913809	2913842	-	relA-mazEF	
HipB DNA-binding-site 57.5 bases upstream of hipBp	1592530	1592550	-	hipBA	
HipB DNA-binding-site 85.5 bases upstream of hipBp	1592558	1592578	-	hipBA	
HipB DNA-binding-site regulating eutHA (BS0-8413)	2568161	2568197	-	eutHA	
HipB DNA-binding-site regulating eutHA (BS0-8415)	2568261	2568297	-	eutHA	
HprR-P DNA-binding-site 38.5 bases downstream of hiuHp	2038869	2038887	+	hiuH-msrPQ	
HprR-P DNA-binding-site 53.5 bases upstream of cusCp	595511	595529		cusCFBA // cusRS	
HprR-P DNA-binding-site 69.5 bases downstream of cyoAp	451576	451594	-	cyoABCDE	
HU DNA-binding-site 6.5 bases downstream of galEp	792059	792093	-	galETKM // galE // galET // galETK // galETK // galET // galE // galETKM	
HU DNA-binding-site 6.5 bases downstream of galEp2	792064	792098	-	galETK // galET // galE // galETKM	
HyfR DNA-binding-site 129.5 bases upstream of hyfAp	2601033	2601051	+	hyfABCDEFGHIJR-focB	
HypT-[Met-oxidized] DNA-binding-site regulating cydAp1			+	cydAB	
HypT-[Met-oxidized] DNA-binding-site regulating metNp			-	metNIQ	
IdnR-5-ketogluconate DNA-binding-site 15.5 bases downstream of gntKp	3577623	3577639	-	gntK // gntKU	
IdnR-5-ketogluconate DNA-binding-site 2.5 bases downstream of gntKp	3577636	3577652	-	gntK // gntKU	
IdnR-5-ketogluconate DNA-binding-site 78.5 bases upstream of idnDp	4494506	4494522		idnDOTR // idnK	
IHF DNA-binding-site (BS0-10566)					
IHF DNA-binding-site (BS0-10584)	4429709	4429757			
IHF DNA-binding-site 1 bases upstream of sodAp	4100752	4100765	+	sodA	
IHF DNA-binding-site 102 bases upstream of ompRp1	3536803	3536816	-	ompR-envZ	
IHF DNA-binding-site 103 bases upstream of tdcAp	3267190	3267203	-	tdcABCDEFG	
IHF DNA-binding-site 104 bases upstream of fnrp	1399649	1399663	-	fnr	
IHF DNA-binding-site 107 bases upstream of glcDp	3128177	3128190	-	glcDEFGBA	
IHF DNA-binding-site 108 bases upstream of ompFp2	987194	987207	-	ompF // ompF	
IHF DNA-binding-site 112.5 bases upstream of focAp1	954599	954612	-	focA-pflB	
IHF DNA-binding-site 114 bases upstream of dusBp	3410126	3410139	+	dusB-fis	
IHF DNA-binding-site 115 bases upstream of nirBp	3493866	3493879	+	nirBDC-cysG	
IHF DNA-binding-site 117 bases upstream of hipBp	1592593	1592606	-	hipBA	
IHF DNA-binding-site 12 bases upstream of ubiCp	4252425	4252438	+	ubiCA	
IHF DNA-binding-site 124 bases upstream of cysJp	2892082	2892095	-	cysJIH	
IHF DNA-binding-site 125 bases upstream of narGp	1279676	1279689	+	narGHJI	
IHF DNA-binding-site 127.5 bases upstream of hypAp	2850493	2850506		hypABCDE-fhlA // hypABCDE // hycABCDEFGHI	
IHF DNA-binding-site 130 bases upstream of narKp1	1277796	1277809	+	narK	
IHF DNA-binding-site 133 bases upstream of yjbEp1	4235719	4235732	+	yjbEFGH // yjbE	
IHF DNA-binding-site 134 bases upstream of ssuEp	997691	997704	-	ssuEADCB	
IHF DNA-binding-site 140 bases downstream of proVp3	2804887	2804902	+	proVWX	
IHF DNA-binding-site 144 bases upstream of nmpCp	577008	577021	-	nmpC	
IHF DNA-binding-site 145 bases upstream of sufAp	1764557	1764570	-	sufABCDSE	
IHF DNA-binding-site 152 bases upstream of glnHp2	848193	848206	-	glnHPQ	
IHF DNA-binding-site 153 bases upstream of acsp	4287538	4287551		acs-yjcHG // acs-yjcHG // nrfABCDEFG	
IHF DNA-binding-site 157 bases upstream of ihfBp2	963586	963599	+	ihfB // ihfB	
IHF DNA-binding-site 159 bases upstream of aceBp	4215237	4215250	+	aceBAK	
IHF DNA-binding-site 16.5 bases downstream of pstSp2	3911546	3911559	-	pstSCAB-phoU // pstS // pstSCA // pstSCA // pstS // pstSCAB-phoU	
IHF DNA-binding-site 169 bases upstream of glmYp1	2691503	2691516	-	glmY	
IHF DNA-binding-site 17 bases downstream of norVp	2832449	2832462	+	norVW	
IHF DNA-binding-site 17 bases upstream of ilvLp1	3950195	3950208	+	ilvL // ilvLXG_1G_2MEDA // ilvL // ilvLXG_1G_2MEDA	
IHF DNA-binding-site 17 bases upstream of ndhp	1165969	1165982	+	ndh	
IHF DNA-binding-site 173.5 bases upstream of csgDp3	1103503	1103533	-	csgDEFG // csgDEFG	
IHF DNA-binding-site 176 bases upstream of ompFp2	987262	987275	-	ompF // ompF	
IHF DNA-binding-site 177 bases upstream of ssuEp	997734	997747	-	ssuEADCB	
IHF DNA-binding-site 18.5 bases upstream of proVp3	2804730	2804744	+	proVWX	
IHF DNA-binding-site 180 bases upstream of acsp	4287565	4287578	-	acs-yjcHG // acs-yjcHG	
IHF DNA-binding-site 1848 bases downstream of dppAp	3706017	3706030	-	dppABCDF	
IHF DNA-binding-site 186.5 bases upstream of fliAp1	2001998	2002014	-	fliAZY	
IHF DNA-binding-site 193 bases upstream of yeiLp	2255091	2255104	+	yeiL	
IHF DNA-binding-site 2 bases upstream of ihfBp2	963741	963754	+	ihfB // ihfB	
IHF DNA-binding-site 20.5 bases downstream of amiAp	2552254	2552267	+	amiA-hemF	
IHF DNA-binding-site 202 bases downstream of glpTQp	2352244	2352257	-	glpTQ	
IHF DNA-binding-site 202.5 bases upstream of fliAp1	2002014	2002030	-	fliAZY	
IHF DNA-binding-site 207 bases upstream of ihfBp2	963536	963549	+	ihfB // ihfB	
IHF DNA-binding-site 21 bases upstream of ihfAp4	1795736	1795749	-	ihfA	
IHF DNA-binding-site 210 bases downstream of ilvLp1	3950421	3950434	+	ilvL // ilvLXG_1G_2MEDA // ilvL // ilvLXG_1G_2MEDA	
IHF DNA-binding-site 22 bases upstream of dmsAp2	940850	940863	+	dmsABC	
IHF DNA-binding-site 225 bases upstream of acsp	4287610	4287623		acs-yjcHG // acs-yjcHG // acs-yjcHG // nrfABCDEFG	
IHF DNA-binding-site 227 bases upstream of yeiLp	2255057	2255070	+	yeiL	
IHF DNA-binding-site 24 bases upstream of sodAp	4100729	4100742	+	sodA	
IHF DNA-binding-site 256 bases upstream of patAp2	3219196	3219209	+	patA // patA	
IHF DNA-binding-site 26 bases downstream of ndhp	1166011	1166024	+	ndh	
IHF DNA-binding-site 304 bases upstream of ihfBp2	963439	963452	+	ihfB // ihfB	
IHF DNA-binding-site 305 bases upstream of carAp1	29240	29253	+	carAB	
IHF DNA-binding-site 31 bases upstream of ibpBp	3867006	3867019	-	ibpB	
IHF DNA-binding-site 32 bases upstream of atoDp	2323374	2323387	+	atoDAEB	
IHF DNA-binding-site 320 bases upstream of ihfBp2	963423	963436	+	ihfB // ihfB	
IHF DNA-binding-site 326 bases upstream of rpoHp6	3601133	3601146	-	rpoH	
IHF DNA-binding-site 33 bases downstream of ssuEp	997525	997538	-	ssuEADCB	
IHF DNA-binding-site 35 bases downstream of glpTQp	2352411	2352424	-	glpTQ	
IHF DNA-binding-site 37 bases upstream of ompRp1	3536738	3536751	-	ompR-envZ	
IHF DNA-binding-site 38.5 bases upstream of pspGp	4262771	4262784	+	pspG	
IHF DNA-binding-site 4 bases upstream of plaRp	3742616	3742629	-	plaR	
IHF DNA-binding-site 4.5 bases downstream of osmEp2	1822273	1822286	-	osmE // osmE	
IHF DNA-binding-site 42.5 bases upstream of pspAp	1367989	1368002	+	pspABCDE	
IHF DNA-binding-site 44 bases upstream of dcuDp2	3374533	3374546	+	dcuD	
IHF DNA-binding-site 47 bases upstream of glnHp2	848088	848101	-	glnHPQ	
IHF DNA-binding-site 47 bases upstream of ihfAp4	1795762	1795775	-	ihfA	
IHF DNA-binding-site 48 bases upstream of norVp	2832385	2832398	+	norVW	
IHF DNA-binding-site 48 bases upstream of sodAp	4100705	4100718	+	sodA	
IHF DNA-binding-site 49.5 bases upstream of yiaKp1	3742618	3742631	+	yiaKLMNO-lyx-sgbHUE	
IHF DNA-binding-site 5 bases upstream of osmYp2	4611142	4611155	+	osmY // osmY	
IHF DNA-binding-site 52 bases upstream of fimAp	4542636	4542649	+	fimAICDFGH	
IHF DNA-binding-site 52 bases upstream of glmYp1	2691386	2691399	-	glmY	
IHF DNA-binding-site 52 bases upstream of rtcBp	3558153	3558166	-	rtcBA	
IHF DNA-binding-site 54 bases downstream of ihfAp4	1795662	1795675	-	ihfA	
IHF DNA-binding-site 54 bases upstream of uspBp	3639896	3639909		uspB // uspA	
IHF DNA-binding-site 57 bases upstream of atoDp	2323349	2323362	+	atoDAEB	
IHF DNA-binding-site 576 bases upstream of fimBp2	4540085	4540098	+	fimB	
IHF DNA-binding-site 58 bases upstream of ndhp	1165928	1165941	+	ndh	
IHF DNA-binding-site 59.5 bases upstream of rpoEp1b	2710447	2710459	-	rpoE-rseABC	
IHF DNA-binding-site 61 bases upstream of sodBp	1735256	1735269	+	sodB	
IHF DNA-binding-site 62 bases upstream of ompFp2	987148	987161	-	ompF // ompF	
IHF DNA-binding-site 62 bases upstream of rtcBp	3558163	3558176	-	rtcBA	
